,mpg,cylinders,displacement,horsepower,weight,acceleration,model,origin,car,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
0,18.0,8,307,130,3504,12.0,70,1,chevrolet chevelle malibu,,,,,
1,15.0,8,350,165,3693,11.5,70,1,buick skylark 320,,,,,
2,18.0,8,318,150,3436,11.0,70,1,plymouth satellite,,,,,
3,16.0,8,304,150,3433,12.0,70,1,amc rebel sst,,,,,
4,17.0,8,302,140,3449,10.5,70,1,ford torino,,,,,
5,15.0,8,429,198,4341,10.0,70,1,ford galaxie 500,,,,,
6,14.0,8,454,220,4354,9.0,70,1,chevrolet impala,,,,,
7,14.0,8,440,215,4312,8.5,70,1,plymouth fury iii,,,,,
8,14.0,8,455,225,4425,10.0,70,1,pontiac catalina,,,,,
9,15.0,8,390,190,3850,8.5,70,1,amc ambassador dpl,,,,,
10,15.0,8,383,170,3563,10.0,70,1,dodge challenger se,,,,,
11,14.0,8,340,160,3609,8.0,70,1,plymouth 'cuda 340,,,,,
12,15.0,8,400,150,3761,9.5,70,1,chevrolet monte carlo,,,,,
13,14.0,8,455,225,3086,10.0,70,1,buick estate wagon (sw),,,,,
14,24.0,4,113,95,2372,15.0,70,3,toyota corona mark ii,,,,,
15,22.0,6,198,95,2833,15.5,70,1,plymouth duster,,,,,
16,18.0,6,199,97,2774,15.5,70,1,amc hornet,,,,,
17,21.0,6,200,85,2587,16.0,70,1,ford maverick,,,,,
18,27.0,4,97,88,2130,14.5,70,3,datsun pl510,,,,,
19,26.0,4,97,46,1835,20.5,70,2,volkswagen 1131 deluxe sedan,,,,,
20,25.0,4,110,87,2672,17.5,70,2,peugeot 504,,,,,
21,24.0,4,107,90,2430,14.5,70,2,audi 100 ls,,,,,
22,25.0,4,104,95,2375,17.5,70,2,saab 99e,,,,,
23,26.0,4,121,113,2234,12.5,70,2,bmw 2002,,,,,
24,21.0,6,199,90,2648,15.0,70,1,amc gremlin,,,,,
25,10.0,8,360,215,4615,14.0,70,1,ford f250,,,,,
26,10.0,8,307,200,4376,15.0,70,1,chevy c20,,,,,
27,11.0,8,318,210,4382,13.5,70,1,dodge d200,,,,,
28,9.0,8,304,193,4732,18.5,70,1,hi 1200d,,,,,
29,27.0,4,97,88,2130,14.5,71,3,datsun pl510,,,,,
30,28.0,4,140,90,2264,15.5,71,1,chevrolet vega 2300,,,,,
31,25.0,4,113,95,2228,14.0,71,3,toyota corona,,,,,
32,25.0,4,98,?,2046,19.0,71,1,ford pinto,,,,,
33,19.0,6,232,100,2634,13.0,71,1,amc gremlin,,,,,
34,16.0,6,225,105,3439,15.5,71,1,plymouth satellite custom,,,,,
35,17.0,6,250,100,3329,15.5,71,1,chevrolet chevelle malibu,,,,,
36,19.0,6,250,88,3302,15.5,71,1,ford torino 500,,,,,
37,18.0,6,232,100,3288,15.5,71,1,amc matador,,,,,
38,14.0,8,350,165,4209,12.0,71,1,chevrolet impala,,,,,
39,14.0,8,400,175,4464,11.5,71,1,pontiac catalina brougham,,,,,
40,14.0,8,351,153,4154,13.5,71,1,ford galaxie 500,,,,,
41,14.0,8,318,150,4096,13.0,71,1,plymouth fury iii,,,,,
42,12.0,8,383,180,4955,11.5,71,1,dodge monaco (sw),,,,,
43,13.0,8,400,170,4746,12.0,71,1,ford country squire (sw),,,,,
44,13.0,8,400,175,5140,12.0,71,1,pontiac safari (sw),,,,,
45,18.0,6,258,110,2962,13.5,71,1,amc hornet sportabout (sw),,,,,
46,22.0,4,140,72,2408,19.0,71,1,chevrolet vega (sw),,,,,
47,19.0,6,250,100,3282,15.0,71,1,pontiac firebird,,,,,
48,18.0,6,250,88,3139,14.5,71,1,ford mustang,,,,,
49,23.0,4,122,86,2220,14.0,71,1,mercury capri 2000,,,,,
50,28.0,4,116,90,2123,14.0,71,2,opel 1900,,,,,
51,30.0,4,79,70,2074,19.5,71,2,peugeot 304,,,,,
52,30.0,4,88,76,2065,14.5,71,2,fiat 124b,,,,,
53,31.0,4,71,65,1773,19.0,71,3,toyota corolla 1200,,,,,
54,35.0,4,72,69,1613,18.0,71,3,datsun 1200,,,,,
55,27.0,4,97,60,1834,19.0,71,2,volkswagen model 111,,,,,
56,26.0,4,91,70,1955,20.5,71,1,plymouth cricket,,,,,
57,24.0,4,113,95,2278,15.5,72,3,toyota corona hardtop,,,,,
58,25.0,4,98,80,2126,17.0,72,1,dodge colt hardtop,,,,,
59,23.0,4,97,54,2254,23.5,72,2,volkswagen type 3,,,,,
60,20.0,4,140,90,2408,19.5,72,1,chevrolet vega,,,,,
61,21.0,4,122,86,2226,16.5,72,1,ford pinto runabout,,,,,
62,13.0,8,350,165,4274,12.0,72,1,chevrolet impala,,,,,
63,14.0,8,400,175,4385,12.0,72,1,pontiac catalina,,,,,
64,15.0,8,318,150,4135,13.5,72,1,plymouth fury iii,,,,,
65,14.0,8,351,153,4129,13.0,72,1,ford galaxie 500,,,,,
66,17.0,8,304,150,3672,11.5,72,1,amc ambassador sst,,,,,
67,11.0,8,429,208,4633,11.0,72,1,mercury marquis,,,,,
68,13.0,8,350,155,4502,13.5,72,1,buick lesabre custom,,,,,
69,12.0,8,350,160,4456,13.5,72,1,oldsmobile delta 88 royale,,,,,
70,13.0,8,400,190,4422,12.5,72,1,chrysler newport royal,,,,,
71,19.0,3,70,97,2330,13.5,72,3,mazda rx2 coupe,,,,,
72,15.0,8,304,150,3892,12.5,72,1,amc matador (sw),,,,,
73,13.0,8,307,130,4098,14.0,72,1,chevrolet chevelle concours (sw),,,,,
74,13.0,8,302,140,4294,16.0,72,1,ford gran torino (sw),,,,,
75,14.0,8,318,150,4077,14.0,72,1,plymouth satellite custom (sw),,,,,
76,18.0,4,121,112,2933,14.5,72,2,volvo 145e (sw),,,,,
77,22.0,4,121,76,2511,18.0,72,2,volkswagen 411 (sw),,,,,
78,21.0,4,120,87,2979,19.5,72,2,peugeot 504 (sw),,,,,
79,26.0,4,96,69,2189,18.0,72,2,renault 12 (sw),,,,,
80,22.0,4,122,86,2395,16.0,72,1,ford pinto (sw),,,,,
81,28.0,4,97,92,2288,17.0,72,3,datsun 510 (sw),,,,,
82,23.0,4,120,97,2506,14.5,72,3,toyouta corona mark ii (sw),,,,,
83,28.0,4,98,80,2164,15.0,72,1,dodge colt (sw),,,,,
84,27.0,4,97,88,2100,16.5,72,3,toyota corolla 1600 (sw),,,,,
85,13.0,8,350,175,4100,13.0,73,1,buick century 350,,,,,
86,14.0,8,304,150,3672,11.5,73,1,amc matador,,,,,
87,13.0,8,350,145,3988,13.0,73,1,chevrolet malibu,,,,,
88,14.0,8,302,137,4042,14.5,73,1,ford gran torino,,,,,
89,15.0,8,318,150,3777,12.5,73,1,dodge coronet custom,,,,,
90,12.0,8,429,198,4952,11.5,73,1,mercury marquis brougham,,,,,
91,13.0,8,400,150,4464,12.0,73,1,chevrolet caprice classic,,,,,
92,13.0,8,351,158,4363,13.0,73,1,ford ltd,,,,,
93,14.0,8,318,150,4237,14.5,73,1,plymouth fury gran sedan,,,,,
94,13.0,8,440,215,4735,11.0,73,1,chrysler new yorker brougham,,,,,
95,12.0,8,455,225,4951,11.0,73,1,buick electra 225 custom,,,,,
96,13.0,8,360,175,3821,11.0,73,1,amc ambassador brougham,,,,,
97,18.0,6,225,105,3121,16.5,73,1,plymouth valiant,,,,,
98,16.0,6,250,100,3278,18.0,73,1,chevrolet nova custom,,,,,
99,18.0,6,232,100,2945,16.0,73,1,amc hornet,,,,,
100,18.0,6,250,88,3021,16.5,73,1,ford maverick,,,,,
101,23.0,6,198,95,2904,16.0,73,1,plymouth duster,,,,,
102,26.0,4,97,46,1950,21.0,73,2,volkswagen super beetle,,,,,
103,11.0,8,400,150,4997,14.0,73,1,chevrolet impala,,,,,
104,12.0,8,400,167,4906,12.5,73,1,ford country,,,,,
105,13.0,8,360,170,4654,13.0,73,1,plymouth custom suburb,,,,,
106,12.0,8,350,180,4499,12.5,73,1,oldsmobile vista cruiser,,,,,
107,18.0,6,232,100,2789,15.0,73,1,amc gremlin,,,,,
108,20.0,4,97,88,2279,19.0,73,3,toyota carina,,,,,
109,21.0,4,140,72,2401,19.5,73,1,chevrolet vega,,,,,
110,22.0,4,108,94,2379,16.5,73,3,datsun 610,,,,,
111,18.0,3,70,90,2124,13.5,73,3,maxda rx3,,,,,
112,19.0,4,122,85,2310,18.5,73,1,ford pinto,,,,,
113,21.0,6,155,107,2472,14.0,73,1,mercury capri v6,,,,,
114,26.0,4,98,90,2265,15.5,73,2,fiat 124 sport coupe,,,,,
115,15.0,8,350,145,4082,13.0,73,1,chevrolet monte carlo s,,,,,
116,16.0,8,400,230,4278,9.5,73,1,pontiac grand prix,,,,,
117,29.0,4,68,49,1867,19.5,73,2,fiat 128,,,,,
118,24.0,4,116,75,2158,15.5,73,2,opel manta,,,,,
119,20.0,4,114,91,2582,14.0,73,2,audi 100ls,,,,,
120,19.0,4,121,112,2868,15.5,73,2,volvo 144ea,,,,,
121,15.0,8,318,150,3399,11.0,73,1,dodge dart custom,,,,,
122,24.0,4,121,110,2660,14.0,73,2,saab 99le,,,,,
123,20.0,6,156,122,2807,13.5,73,3,toyota mark ii,,,,,
124,11.0,8,350,180,3664,11.0,73,1,oldsmobile omega,,,,,
125,20.0,6,198,95,3102,16.5,74,1,plymouth duster,,,,,
126,21.0,6,200,?,2875,17.0,74,1,ford maverick,,,,,
127,19.0,6,232,100,2901,16.0,74,1,amc hornet,,,,,
128,15.0,6,250,100,3336,17.0,74,1,chevrolet nova,,,,,
129,31.0,4,79,67,1950,19.0,74,3,datsun b210,,,,,
130,26.0,4,122,80,2451,16.5,74,1,ford pinto,,,,,
131,32.0,4,71,65,1836,21.0,74,3,toyota corolla 1200,,,,,
132,25.0,4,140,75,2542,17.0,74,1,chevrolet vega,,,,,
133,16.0,6,250,100,3781,17.0,74,1,chevrolet chevelle malibu classic,,,,,
134,16.0,6,258,110,3632,18.0,74,1,amc matador,,,,,
135,18.0,6,225,105,3613,16.5,74,1,plymouth satellite sebring,,,,,
136,16.0,8,302,140,4141,14.0,74,1,ford gran torino,,,,,
137,13.0,8,350,150,4699,14.5,74,1,buick century luxus (sw),,,,,
138,14.0,8,318,150,4457,13.5,74,1,dodge coronet custom (sw),,,,,
139,14.0,8,302,140,4638,16.0,74,1,ford gran torino (sw),,,,,
140,14.0,8,304,150,4257,15.5,74,1,amc matador (sw),,,,,
141,29.0,4,98,83,2219,16.5,74,2,audi fox,,,,,
142,26.0,4,79,67,1963,15.5,74,2,volkswagen dasher,,,,,
143,26.0,4,97,78,2300,14.5,74,2,opel manta,,,,,
144,31.0,4,76,52,1649,16.5,74,3,toyota corona,,,,,
145,32.0,4,83,61,2003,19.0,74,3,datsun 710,,,,,
146,28.0,4,90,75,2125,14.5,74,1,dodge colt,,,,,
147,24.0,4,90,75,2108,15.5,74,2,fiat 128,,,,,
148,26.0,4,116,75,2246,14.0,74,2,fiat 124 tc,,,,,
149,24.0,4,120,97,2489,15.0,74,3,honda civic,,,,,
150,26.0,4,108,93,2391,15.5,74,3,subaru,,,,,
151,31.0,4,79,67,2000,16.0,74,2,fiat x1.9,,,,,
152,19.0,6,225,95,3264,16.0,75,1,plymouth valiant custom,,,,,
153,18.0,6,250,105,3459,16.0,75,1,chevrolet nova,,,,,
154,15.0,6,250,72,3432,21.0,75,1,mercury monarch,,,,,
155,15.0,6,250,72,3158,19.5,75,1,ford maverick,,,,,
156,16.0,8,400,170,4668,11.5,75,1,pontiac catalina,,,,,
157,15.0,8,350,145,4440,14.0,75,1,chevrolet bel air,,,,,
158,16.0,8,318,150,4498,14.5,75,1,plymouth grand fury,,,,,
159,14.0,8,351,148,4657,13.5,75,1,ford ltd,,,,,
160,17.0,6,231,110,3907,21.0,75,1,buick century,,,,,
161,16.0,6,250,105,3897,18.5,75,1,chevroelt chevelle malibu,,,,,
162,15.0,6,258,110,3730,19.0,75,1,amc matador,,,,,
163,18.0,6,225,95,3785,19.0,75,1,plymouth fury,,,,,
164,21.0,6,231,110,3039,15.0,75,1,buick skyhawk,,,,,
165,20.0,8,262,110,3221,13.5,75,1,chevrolet monza 2+2,,,,,
166,13.0,8,302,129,3169,12.0,75,1,ford mustang ii,,,,,
167,29.0,4,97,75,2171,16.0,75,3,toyota corolla,,,,,
168,23.0,4,140,83,2639,17.0,75,1,ford pinto,,,,,
169,20.0,6,232,100,2914,16.0,75,1,amc gremlin,,,,,
170,23.0,4,140,78,2592,18.5,75,1,pontiac astro,,,,,
171,24.0,4,134,96,2702,13.5,75,3,toyota corona,,,,,
172,25.0,4,90,71,2223,16.5,75,2,volkswagen dasher,,,,,
173,24.0,4,119,97,2545,17.0,75,3,datsun 710,,,,,
174,18.0,6,171,97,2984,14.5,75,1,ford pinto,,,,,
175,29.0,4,90,70,1937,14.0,75,2,volkswagen rabbit,,,,,
176,19.0,6,232,90,3211,17.0,75,1,amc pacer,,,,,
177,23.0,4,115,95,2694,15.0,75,2,audi 100ls,,,,,
178,23.0,4,120,88,2957,17.0,75,2,peugeot 504,,,,,
179,22.0,4,121,98,2945,14.5,75,2,volvo 244dl,,,,,
180,25.0,4,121,115,2671,13.5,75,2,saab 99le,,,,,
181,33.0,4,91,53,1795,17.5,75,3,honda civic cvcc,,,,,
182,28.0,4,107,86,2464,15.5,76,2,fiat 131,,,,,
183,25.0,4,116,81,2220,16.9,76,2,opel 1900,,,,,
184,25.0,4,140,92,2572,14.9,76,1,capri ii,,,,,
185,26.0,4,98,79,2255,17.7,76,1,dodge colt,,,,,
186,27.0,4,101,83,2202,15.3,76,2,renault 12tl,,,,,
187,17.5,8,305,140,4215,13.0,76,1,chevrolet chevelle malibu classic,,,,,
188,16.0,8,318,150,4190,13.0,76,1,dodge coronet brougham,,,,,
189,15.5,8,304,120,3962,13.9,76,1,amc matador,,,,,
190,14.5,8,351,152,4215,12.8,76,1,ford gran torino,,,,,
191,22.0,6,225,100,3233,15.4,76,1,plymouth valiant,,,,,
192,22.0,6,250,105,3353,14.5,76,1,chevrolet nova,,,,,
193,24.0,6,200,81,3012,17.6,76,1,ford maverick,,,,,
194,22.5,6,232,90,3085,17.6,76,1,amc hornet,,,,,
195,29.0,4,85,52,2035,22.2,76,1,chevrolet chevette,,,,,
196,24.5,4,98,60,2164,22.1,76,1,chevrolet woody,,,,,
197,29.0,4,90,70,1937,14.2,76,2,vw rabbit,,,,,
